owner_id,id,name,role_name,is_roundstart_role,type,victory,faction_name,mind_name,mind_ckey
866,3403,Traitor,Traitor,1,/datum/role/traitor,0,Traitor,Colton Moore,robicod
20,102,Blob Cerebrate,Blob Cerebrate,0,/datum/role/blob_overmind/cerebrate,1,Blob Conglomerate,Blob Overmind (764),alekspeshkov
22,103,Wizard,Wizard,1,/datum/role/wizard,0,Wizard Federation,Mystryl Darkmagic,heaptem
22,104,Wizard,Wizard,1,/datum/role/wizard,0,Wizard Federation,Elminister Unseen,sweetmaurse
22,105,Wizard,Wizard,1,/datum/role/wizard,0,Wizard Federation,Mordenkainen Darko,inkvoid
22,106,Wizard,Wizard,0,/datum/role/wizard,0,Wizard Federation,Yoda the Bandit Killer,stepansamp228pos
23,107,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Ezekiel Woodward,gosha2003
23,108,Traitor,Traitor,0,/datum/role/traitor,1,Traitor,Kaela Pratt,ulfe12345
23,109,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Rikitarikiri,prismaliveonmars
23,110,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Aramsha Jarmack,chikart
24,111,Cortical Borer,Cortical Borer,0,/datum/role/borer,0,Borer Hivemind,Primary 9584,lazarevvladimir
25,112,Shadowling,Shadowling,1,/datum/role/shadowling,1,Shadowlings,Artem Richards,starmoore
25,113,Shadowling,Shadowling,1,/datum/role/shadowling,1,Shadowlings,Vladimir Nesterenko,mentaleater
25,114,Thrall,Thrall,0,/datum/role/thrall,1,Shadowlings,Troy Orgail,deahaka
